Feature,Importance
EloDifference,0.2309487602286593
RecentXGDifferenceMatchup,0.08140412529618174
HomeElo,0.05267480516851041
HomeXGLast10,0.028979402535915813
AwayElo,0.027536518542596453
AwayXGDifferenceLast3,0.025272886225426283
AwayXGLast5,0.024985783011646997
HomeXGLast3,0.02269003142460904
HomeXGDifferenceLast10,0.0214995577903625
AwayXGDifferenceLast10,0.021187923918522013
AwayXGLast3,0.020666551899644562
RecentGoalDifferenceMatchup,0.02044102008949241
HomeXGALast10,0.020369065958454117
AwayXGALast3,0.02010802958692696
AwayXGALast10,0.01987380454163583
AwayXGLast10,0.019556314243066995
HomeXGLast5,0.01755273230213388
HomeXGALast3,0.01691967929036548
HomeGoalDifferenceLast10,0.014111147787646938
AwayXGDifferenceLast5,0.01379011559365406
AwayXGAttackVsHomeXGDefense,0.01325718015685491
AwayXGALast5,0.013247316548620758
HomeXGDifferenceLast3,0.012984908131928576
AwayAttackVsHomeDefense,0.012676393389656721
HomeXGDifferenceLast5,0.012626116927049937
AwayXGAttackDefenseRatio,0.012432370493601018
HomeXGAttackVsAwayXGDefense,0.012314355424389828
FormDifference,0.011863251895046613
HomeXGAttackDefenseRatio,0.011671509143643833
HomeXGALast5,0.010919368314387586
HomeGoalsForLast10,0.010567859823912782
AwayGoalDifferenceLast10,0.01026721009906802
AwayGoalsAgainstLast10,0.008898902658883349
HomeGoalsAgainstLast10,0.008527229648313518
HomeRestDays,0.008439615827589817
AwayGoalsForLast10,0.008282369532970875
AwayGoalDifferenceLast5,0.007534499650485748
AwayRestDays,0.007403812280601592
HomeGoalDifferenceLast3,0.00740307473330288
HomeForm,0.00719118996381489
AwayGoalsForLast3,0.007178874906623042
HomeGoalsForLast3,0.006147937677635593
AwayGoalDifferenceLast3,0.00597655992272308
HomeGoalsAgainstLast5,0.005872037458208063
HomeGoalsAgainstLast3,0.005817022866813215
HomeGoalDifferenceLast5,0.0056558961776199965
HomeGoalsForLast5,0.005602344707474771
AwayGoalsForLast5,0.00510374693814471
HomeAttackVsAwayDefense,0.005085318932664486
RestDaysDifference,0.004944683205358098
AwayGoalsAgainstLast3,0.004656181952480897
AwayGoalsAgainstLast5,0.004455503658946839
AwayForm,0.004427101515732064
