Team,BaselinePts,xPts,StdPts,Pts_10th,Pts_50th,Pts_90th,TitleProb_%,Top4Prob_%,RelegationProb_%,AvgRank
Manchester City FC,12,78.2251,7.159024374172782,69.0,78.0,87.0,35.14,90.52,0.0,2.3842
Arsenal FC,12,78.0869,7.080956742559581,69.0,78.0,87.0,37.24,87.99,0.0,2.4301
Brighton & Hove Albion FC,7,72.317,7.100190912926215,63.0,72.0,81.0,12.889999999999999,66.17,0.0,3.7884
Leeds United FC,8,69.8249,7.241646220991468,60.0,70.0,79.0,6.43,55.22,0.0,4.4531
Brentford FC,9,69.3381,7.066455150214993,60.0,69.0,78.0,5.6000000000000005,47.96,0.0,4.6607
Hull City AFC,8,65.3929,7.283002786625857,56.0,65.0,75.0,1.9900000000000002,29.87,0.0,5.8083
Everton FC,6,59.4813,7.329191654609668,50.0,59.0,69.0,0.35000000000000003,9.28,0.06,7.7529
Liverpool FC,6,58.9701,7.243894393901667,50.0,59.0,68.0,0.31,8.63,0.06,7.9558
Manchester United FC,4,51.8468,7.399562808707011,42.0,52.0,61.0,0.01,1.5,1.02,10.5919
Nottingham Forest FC,5,50.7693,7.227646747731933,42.0,51.0,60.0,0.02,0.9400000000000001,1.11,11.0386
Chelsea FC,7,50.5985,7.296087838698215,41.0,51.0,60.0,0.01,0.77,1.37,11.0926
Newcastle United FC,5,48.9256,7.3057692709255475,40.0,49.0,58.0,0.01,0.69,2.16,11.7504
AFC Bournemouth,3,47.7161,7.328908567447134,38.0,48.0,57.0,0.0,0.33999999999999997,3.3000000000000003,12.2095
Ipswich Town FC,6,44.7627,7.117063208234138,36.0,45.0,54.0,0.0,0.08,7.16,13.3803
Sunderland AFC,4,42.0327,7.073403050159095,33.0,42.0,51.0,0.0,0.01,13.170000000000002,14.3631
Crystal Palace FC,3,37.5928,7.020298295656674,29.0,37.0,47.0,0.0,0.01,31.7,16.0204
Fulham FC,1,36.5202,7.112987555169768,27.0,36.0,46.0,0.0,0.02,37.19,16.3467
Aston Villa FC,4,35.8998,6.834790410831922,27.0,36.0,45.0,0.0,0.0,39.03,16.5979
Tottenham Hotspur FC,2,30.6993,6.546760993804494,22.0,31.0,39.0,0.0,0.0,69.52000000000001,17.9965
Coventry City FC,0,24.2235,6.454389804621348,16.0,24.0,33.0,0.0,0.0,93.15,19.3786
