Team,BaselinePts,xPts,StdPts,Pts_10th,Pts_50th,Pts_90th,TitleProb_%,Top4Prob_%,RelegationProb_%,AvgRank
Arsenal,85,85.0,0.0,85.0,85.0,85.0,100.0,100.0,0.0,1.0
Manchester City,78,78.0,0.0,78.0,78.0,78.0,0.0,100.0,0.0,2.0
Manchester United,71,71.0,0.0,71.0,71.0,71.0,0.0,100.0,0.0,3.0
Aston Villa,65,65.0,0.0,65.0,65.0,65.0,0.0,100.0,0.0,4.0
Liverpool,60,60.0,0.0,60.0,60.0,60.0,0.0,0.0,0.0,5.0
Bournemouth,57,57.0,0.0,57.0,57.0,57.0,0.0,0.0,0.0,6.0
Sunderland,54,54.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,7.0
Brentford,53,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,9.0
Brighton and Hove Albion,53,53.0,0.0,53.0,53.0,53.0,0.0,0.0,0.0,8.0
Fulham,52,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,10.0
Chelsea,52,52.0,0.0,52.0,52.0,52.0,0.0,0.0,0.0,11.0
Everton,49,49.0,0.0,49.0,49.0,49.0,0.0,0.0,0.0,13.0
Newcastle United,49,49.0,0.0,49.0,49.0,49.0,0.0,0.0,0.0,12.0
Leeds United,47,47.0,0.0,47.0,47.0,47.0,0.0,0.0,0.0,14.0
Crystal Palace,45,45.0,0.0,45.0,45.0,45.0,0.0,0.0,0.0,15.0
Nottingham Forest,44,44.0,0.0,44.0,44.0,44.0,0.0,0.0,0.0,16.0
Tottenham,41,41.0,0.0,41.0,41.0,41.0,0.0,0.0,0.0,17.0
West Ham,39,39.0,0.0,39.0,39.0,39.0,0.0,0.0,100.0,18.0
Burnley,22,22.0,0.0,22.0,22.0,22.0,0.0,0.0,100.0,19.0
Wolverhampton Wanderers,20,20.0,0.0,20.0,20.0,20.0,0.0,0.0,100.0,20.0
