Team,BaselinePts,xPts,StdPts,Pts_10th,Pts_50th,Pts_90th,TitleProb_%,Top4Prob_%,RelegationProb_%,AvgRank
Arsenal,0,76.672,7.570773804572423,67.0,77.0,86.0,48.28,94.19,0.0,2.0189
Manchester City,0,74.6224,7.527218492909582,65.0,75.0,84.0,32.49,92.15,0.0,2.3509
Liverpool,0,69.2839,7.798057501070378,59.0,69.0,79.0,13.089999999999998,74.7,0.0,3.6161
Chelsea,0,61.2234,7.8408349325821165,51.0,61.0,71.0,2.2399999999999998,34.36,0.3,6.3301
Aston Villa,0,60.4634,7.8204386347570045,50.0,61.0,71.0,1.83,29.770000000000003,0.31,6.6767
Newcastle United,0,55.6276,7.972046051046118,45.0,56.0,66.0,0.47000000000000003,14.46,1.63,8.8205
Brighton and Hove Albion,0,54.8819,7.93665876739072,45.0,55.0,65.0,0.36,11.16,2.03,9.1579
Manchester United,0,54.8204,7.895374838473471,45.0,55.0,65.0,0.33999999999999997,11.88,1.92,9.19
Crystal Palace,0,53.9636,7.8279036171889596,44.0,54.0,64.0,0.3,9.47,2.3,9.5988
Brentford,0,53.868,7.795343225285208,44.0,54.0,64.0,0.24,8.7,2.33,9.6753
Bournemouth,0,53.0182,7.8787733029958416,43.0,53.0,63.0,0.19,7.359999999999999,3.01,10.0925
Everton,0,50.0292,7.800752999550748,40.0,50.0,60.0,0.1,3.95,6.529999999999999,11.5682
Fulham,0,48.6809,7.8415862674589,38.90000000000009,49.0,59.0,0.03,2.91,8.68,12.222
Sunderland,0,46.6584,7.798288878978516,37.0,46.0,57.0,0.03,1.91,13.62,13.2527
Nottingham Forest,0,46.5848,7.775989259251841,37.0,47.0,57.0,0.01,1.6400000000000001,13.569999999999999,13.2307
Leeds United,0,44.0109,7.587672975952508,34.0,44.0,54.0,0.0,0.66,21.38,14.4475
Tottenham,0,43.4677,7.530627909411009,34.0,43.0,53.0,0.0,0.59,24.55,14.7039
West Ham,0,39.3104,7.550327929302144,30.0,39.0,49.0,0.0,0.13999999999999999,45.48,16.3586
Burnley,0,33.508,7.186802905325845,24.0,33.0,43.0,0.0,0.0,75.3,18.3239
Wolverhampton Wanderers,0,32.9054,7.180240305170851,24.0,33.0,42.0,0.0,0.0,77.06,18.3648
